Date/Time,Type,CO2 (ppm),Temp (C),Humidity (%),Source File
2024-12-02 01:22:39,Baseline,379.425,28.17,37.38,2_masks_12_1_24.txt
2024-12-02 01:22:40,Baseline,379.425,28.17,37.38,2_masks_12_1_24.txt
2024-12-02 01:22:38,Baseline,380.875,28.21,37.41,2_masks_12_1_24.txt
2024-12-02 01:18:24,Baseline,420.265,24.66,40.22,2_masks_12_1_24.txt
2024-12-02 01:18:25,Baseline,420.265,24.66,40.22,2_masks_12_1_24.txt
2024-12-02 01:18:23,Baseline,422.5475,24.65,39.16,2_masks_12_1_24.txt
2024-12-02 01:49:00,Baseline,583.2475,26.63,33.18,1.txt
2024-12-02 01:49:01,Baseline,583.2475,26.63,33.18,1.txt
2024-12-02 01:49:00,Baseline,583.2475,26.63,33.18,1_mask_12_1_24.txt
2024-12-02 01:49:01,Baseline,583.2475,26.63,33.18,1_mask_12_1_24.txt
2024-12-02 01:49:02,Baseline,602.9075,26.51,33.77,1.txt
2024-12-02 01:49:02,Baseline,602.9075,26.51,33.77,1_mask_12_1_24.txt
2024-12-02 01:49:17,Baseline,634.3575,24.79,33.56,1.txt
2024-12-02 01:49:17,Baseline,634.3575,24.79,33.56,1_mask_12_1_24.txt
2024-12-02 01:49:16,Baseline,646.9525,24.89,32.68,1.txt
2024-12-02 01:49:16,Baseline,646.9525,24.89,32.68,1_mask_12_1_24.txt
2024-12-02 01:49:15,Baseline,768.125,24.86,32.12,1.txt
2024-12-02 01:49:15,Baseline,768.125,24.86,32.12,1_mask_12_1_24.txt
2024-12-02 01:22:59,End of Breath IN,1261.28,28.51,50.18,2_masks_12_1_24.txt
2024-12-02 01:23:00,End of Breath IN,1261.28,28.51,50.18,2_masks_12_1_24.txt
2024-12-02 01:30:39,End of Breath IN,1445.4025,34.4,61.76,2_masks_12_1_24.txt
2024-12-02 01:30:40,End of Breath IN,1445.4025,34.4,61.76,2_masks_12_1_24.txt
2024-12-02 01:22:58,End of Breath IN,1451.2375,28.52,49.74,2_masks_12_1_24.txt
2024-12-02 01:24:37,End of Breath IN,1628.7325,32.56,60.65,2_masks_12_1_24.txt
2024-12-02 01:30:38,End of Breath IN,1698.0625,34.4,60.68,2_masks_12_1_24.txt
2024-12-02 01:19:58,End of Breath IN,1704.22,26.81,73.32,2_masks_12_1_24.txt
2024-12-02 01:24:35,End of Breath IN,1922.225,32.66,64.58,2_masks_12_1_24.txt
2024-12-02 01:24:36,End of Breath IN,1922.225,32.66,64.58,2_masks_12_1_24.txt
2024-12-02 01:55:41,End of Breath IN,1950.32,33.22,51.73,1.txt
2024-12-02 01:55:42,End of Breath IN,1950.32,33.22,51.73,1.txt
2024-12-02 01:55:41,End of Breath IN,1950.32,33.22,51.73,1_mask_12_1_24.txt
2024-12-02 01:55:42,End of Breath IN,1950.32,33.22,51.73,1_mask_12_1_24.txt
2024-12-02 01:32:15,End of Breath IN,2083.1975,34.02,41.44,2_masks_12_1_24.txt
2024-12-02 01:32:16,End of Breath IN,2083.1975,34.02,41.44,2_masks_12_1_24.txt
2024-12-02 01:55:39,End of Breath IN,2170.845,33.26,53.6,1.txt
2024-12-02 01:55:39,End of Breath IN,2170.845,33.26,53.6,1_mask_12_1_24.txt
2024-12-02 01:33:22,End of Breath IN,2360.0875,34.06,50.26,2_masks_12_1_24.txt
2024-12-02 01:56:50,End of Breath IN,2426.145,33.63,62.86,1.txt
2024-12-02 01:56:50,End of Breath IN,2426.145,33.63,62.86,1_mask_12_1_24.txt
2024-12-02 01:32:14,End of Breath IN,2645.4775,34.35,51.06,2_masks_12_1_24.txt
2024-12-02 02:01:26,End of Breath IN,2645.53,33.63,54.22,1.txt
2024-12-02 02:01:27,End of Breath IN,2645.53,33.63,54.22,1.txt
2024-12-02 02:01:26,End of Breath IN,2645.53,33.63,54.22,1_mask_12_1_24.txt
2024-12-02 02:01:27,End of Breath IN,2645.53,33.63,54.22,1_mask_12_1_24.txt
2024-12-02 01:24:11,End of Breath IN,2649.6625,31.89,61.8,2_masks_12_1_24.txt
2024-12-02 01:24:12,End of Breath IN,2649.6625,31.89,61.8,2_masks_12_1_24.txt
2024-12-02 01:51:42,End of Breath IN,2731.5975,30.71,66.36,1.txt
2024-12-02 01:51:42,End of Breath IN,2731.5975,30.71,66.36,1_mask_12_1_24.txt
2024-12-02 02:03:10,End of Breath IN,2759.055,33.53,54.83,1.txt
2024-12-02 02:03:10,End of Breath IN,2759.055,33.53,54.83,1_mask_12_1_24.txt
2024-12-02 01:56:10,End of Breath IN,2795.315,33.16,59.64,1.txt
2024-12-02 01:56:10,End of Breath IN,2795.315,33.16,59.64,1_mask_12_1_24.txt
2024-12-02 01:33:21,End of Breath IN,2826.255,34.03,46.83,2_masks_12_1_24.txt
2024-12-02 01:51:11,End of Breath IN,2883.61,30.05,68.62,1.txt
2024-12-02 01:51:12,End of Breath IN,2883.61,30.05,68.62,1.txt
2024-12-02 01:51:11,End of Breath IN,2883.61,30.05,68.62,1_mask_12_1_24.txt
2024-12-02 01:51:12,End of Breath IN,2883.61,30.05,68.62,1_mask_12_1_24.txt
2024-12-02 01:56:48,End of Breath IN,2928.77,33.63,60.35,1.txt
2024-12-02 01:56:49,End of Breath IN,2928.77,33.63,60.35,1.txt
2024-12-02 01:56:48,End of Breath IN,2928.77,33.63,60.35,1_mask_12_1_24.txt
2024-12-02 01:56:49,End of Breath IN,2928.77,33.63,60.35,1_mask_12_1_24.txt
2024-12-02 01:52:32,End of Breath IN,2961.585,31.69,60.95,1.txt
2024-12-02 01:52:32,End of Breath IN,2961.585,31.69,60.95,1_mask_12_1_24.txt
2024-12-02 02:01:25,End of Breath IN,3073.48,33.7,56.56,1.txt
2024-12-02 02:01:25,End of Breath IN,3073.48,33.7,56.56,1_mask_12_1_24.txt
2024-12-02 02:03:09,End of Breath IN,3073.8525,33.52,51.99,1.txt
